Parameter,Unit,Value,,,,,,
PDSCH Reference channel,,R.10 HD-FDD,R.11 HD-FDD,R.18 HD-FDD,R.19 HD-FDD,R.24 HD-FDD,R.25 HD-FDD,R.49 HD-FDD
Carrier bandwidth,MHz,10,10,5,5,10,10,1.4
Number of transmitter antennas,,1,2,1,2,1,2,1
Allocated resource blocksNote1,PRBs,2,2,2,2,2,2,2
Allocated subframes per Radio Frame,subframes,10,10,10,10,10,10,10
Modulation,,QPSK,QPSK,QPSK,QPSK,QPSK,QPSK,QPSK
Target coding rate,,1/3,1/3,1/3,1/3,1/3,1/3,1/3
Information Bit Payload,,,,,,,,
Sub-Frames 0 ~ 9,Bits,32,32,32,32,32,32,32
Number of Code Blocks per Sub-Frame,,,,,,,,
Sub-Frames 0 ~ 9,,1,1,1,1,1,1,1
Maximum number of repetitions,,16,16,16,16,1,1,16
Frequency hopping,,ON,ON,ON,ON,ON,ON,OFF
Number of narrowbands for frequency hopping,narrowbands,2,2,2,2,2,2,1
PDSCH Narrowband,,1st,1st,1st,1st,1st,1st,-
Frequency HoppingOffset,narrowbands,7,7,3,3,7,7,-
PDSCH start symbol,symbols,2,2,2,2,2,2,1
Frequency hopping interval,subframes,4,4,4,4,4,4,-
Cell ID,,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2
Note 1:Allocation is located in the middle of narrowband.Note 2:Cell ID shall depend upon the test configuration.,,,,,,,,
