Parameter,Unit,Test configuration,Value,Comment
Active cell,,"1, 2, 3",Cell 1,Cell 1 is the PCell in NR-Multi-RTT-ProvideAssistanceData [34].
Neighbour cell,,"1, 2, 3",Cell 2,Cell 2 is a neighbour cell in NR-Multi-RTT-ProvideAssistanceData [34].
RF Channel Number,,"1, 2, 3",1,For both Cell 1 and Cell 2
BWchannel,MHz,1,"20: NPRB,c = 106",
,,2,"20: NPRB,c = 106",
,,3,"50: NPRB,c = 133",
SSB configuration,,1,SSB.1 FR1,
,,2,SSB.1 FR1,
,,3,SSB.2 FR1,
SMTC configuration,,1,SMTC.2,
,,2,SMTC.1,
,,3,SMTC.1,
CP length,,"1, 2, 3",Normal,
DRX cycle length,s,"1, 2, 3",1.28,
Time offset between serving and neighbour cells,s,"1, 2, 3",3,Synchronous cells
T1,s,"1, 2, 3",3,
T2,s,"1, 2, 3",5,
