Parameter,Unit,Test configuration,Cell 1,,Cell 2,
,,,T1,T2,T1,T2
TDD configuration,,1,TN/A,,TN/A,
,,2,TDDConf.1.1,,TDDConf.1.1,
,,3,TDDConf.2.1,,TDDConf.2.1,
PDSCH RMC configuration,,1,SR.1.1 FDD,,N/A,
,,2,SR.1.1 TDD,,,
,,3,SR.2.1 TDD,,,
RMSI CORESET RMC configuration,,1,CR.1.1 FDD,,CR.1.1 FDD,
,,2,CR.1.1 TDD,,CR.1.1 TDD,
,,3,CR.2.1 TDD,,CR.2.1 TDD,
Dedicated CORESET RMC configuration,,1,CCR.1.1 FDD,,CCR.1.1 FDD,
,,2,CCR.1.1 TDD,,CCR.1.1 TDD,
,,3,CCR.2.1 TDD,,CCR.2.1 TDD,
OCNG Patterns,,"1, 2, 3",OP.1,,OP.1,
TRS Configuration,,1,TRS.1.1 FDD,,N/A,
,,2,TRS.1.1 TDD,,N/A,
,,3,TRS.1.2 TDD,,N/A,
IInitial BWP configuration,,"1, 2, 3",DLBWP.0.1 ULBWP.0.1,,DLBWP.0.1 ULBWP.0.1,
Active DL BWP configuration,,"1, 2, 3",DLBWP.1.1,,DLBWP.1.1,
Active UL BWP configuration,,"1, 2, 3",ULBWP.1.1,,ULBWP.1.1,
RLM-RS,,"1, 2, 3",SSB,,SSB,
Note 2,dBm/SCS,1,-98,,,
,,2,-98,,,
,,3,-95,,,
Note 2,dBm/15 kHz,1,-98,,,
,,2,,,,
,,3,,,,
for SSB,dB,1,4,-1.46,4,-1.46
,,2,,,,
,,3,,,,
for CSI-RS,dB,1,4,-1.46,4,-1.46
,,2,,,,
,,3,,,,
for SSB,dB,1,4,4,4,4
,,2,,,,
,,3,,,,
for CSI-RS,dB,1,4,4,4,4
,,2,,,,
,,3,,,,
SS-RSRP Note 3,dBm/SCS kHz,1,-94,-94,-94,-94
,,2,-94,-94,-94,-94
,,3,-91,-91,-91,-91
CSI-RSRP Note 3,dBm/SCS kHz,1,-89,-103,-103,-85
,,2,-89,-103,-103,-85
,,3,-89,-103,-103,-85
Io,dBm/9.36 MHz,1,-64.60,-62.25,--64.60,-62.25
,dBm/9.36 MHz,2,-64.60,-62.25,--64.60,-62.25
,dBm/38.16 MHz,3,-58.50,-56.16,--58.50,-56.16
Propagation Condition,,"1, 2, 3",AWGN,,,
NOTE 1:The resources for uplink transmission are assigned to the UE prior to the start of time period T2.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:CSI-RSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.,,,,,,
