Parameter,Unit,Test configuration,Value,Comment
Reference cell,,"1, 2, 3",Cell 1,Cell 1 is the PCell and the DL-AoD reference cell in the positioning assistance data.
Neighbour cell,,"1, 2, 3",Cell 2,Cell 2 is a neighbour cell in the positioning assistance data.
RF Channel Number,,"1, 2, 3",1: Cell 1 and Cell 2,
BWchannel,MHz,1,"20: NPRB,c = 106",
,,2,"20: NPRB,c = 106",
,,3,"50: NPRB,c = 133",
SSB configuration,,1,SSB.1 FR1,
,,2,SSB.1 FR1,
,,3,SSB.2 FR1,
SMTC configuration,,1,SMTC.2,
,,2,SMTC.1,
,,3,SMTC.1,
PPW configuration,,"1,2,3",PPW.1,As defined in A.3.33
CP length,,"1, 2, 3",Normal,
DRX,,"1, 2, 3",NA,OFF
Time offset between serving and neighbour cells,s,"1, 2, 3",-set to the UE reported capability for receive time difference threshold if the UE reported value is < 3µs-3µs otherwise,Synchronous cells
Expected RSTD,s,"1, 2, 3",0,
Expected RSTD uncertainty,s,"1, 2, 3",Same as time offset,
T1,s,"1, 2, 3",2,
T2,ms,"1, 2, 3",10,In this test UE is configured to measure single PFL within the configured PPW.
