Resource Type,aperiodic
Resource Set Config,
repetition,on
aperiodicTriggeringOffset,Depending on UE capability
Resource Config,
nzp-CSI-RS-ResourceId,30 for resource #0
,31 for resource #1
,32 for resource #2
,33 for resource #3
,…
,…
,…
,"29+N for resource #(N-1), where N is maxNumberRxBeam in UE capability IE of MIMO-ParametersPerBand"
powerControlOffset,0
powerControlOffsetSS,db0
nrofPorts,1
firstOFDMSymbolInTimeDomain,6 for resource #0
,7 for resource #1
,8 for resource #2
,9 for resource #3
,…
,…
,…
,"5+N for resource #(N-1), where N=maxNumberRxBeam-1 in UE capability IE of MIMO-ParametersPerBand"
cdm-Type,noCDM
density,3
nrofRBs,48 for channel bandwidth≥100MHz32 for channel bandwidth=50MHz
qcl-info,Type D to SSB
