Parameter,,,Unit,,Cell 1,,Cell 2,
Downlink power allocation,,,dB,,-3,,-3,
,,,dB,,-3 (NOTE 1),,-3,
,,,dB,,0,,0,
Cell-specific reference signals,,,,,"Antenna ports 0,1",,"Antenna ports 0,1",
at antenna port,,,dBm/15kHz,,-98,,N/A,
DIP (NOTE 2),,,dB,,N/A,,-2.23,
BWChannel,,,MHz,,10,,10,
Cyclic Prefix,,,,,Normal,,Normal,
Cell Id,,,,,0,,1,
Number of control OFDM symbols,,,,,2,,2,
PDSCH transmission mode,,,,,2,,N/A,
Interference model,,,,,N/A,,As specified in clause B.5.2,
Probability of occurrence of transmission rank in interfering cells,,Rank 1,%,,N/A,,80,
,,Rank 2,%,,N/A,,20,
Reporting interval,,,ms,,5,,N/A,
Reporting mode,,,,,PUCCH 1-0,,N/A,
Physical channel for CQI reporting,,,,,PUSCH(Note 5),,N/A,
cqi-pmi-ConfigurationIndex,,,,,2,,N/A,
NOTE 1:NOTE 2: The respective received power spectral density of each interfering cell relative to  is defined by its associated DIP value as specified in clause B.5.1.NOTE 3:Cell 1 is the serving cell. Cell 2 is the interfering cell.NOTE 4:Cell 2 transmission is delayed with respect to Cell 1 by 0.33 ms.NOTE 5:To avoid collisions between CQI reports and HARQ-ACK it is necessary to report both on PUSCH instead of PUCCH. PDCCH DCI format 0 shall be transmitted in downlink SF#1 and #6 to allow periodic CQI to multiplex with the HARQ-ACK on PUSCH in uplink subframe SF#5 and #0.,,,,,,,,
