Parameter,Test
Example TDD UL-DL pattern (Note 1),"60 kHz SCS:DDSUU, S=10D:2G:2U or DSUUU120 kHz SCS:DDSUU, S=10D:2G:2U or DSUUU"
Modulation order,QPSK
First PRB prior to frequency hopping,0
Intra-slot frequency hopping,disabled
Group and sequence hopping,neither
Hopping ID,0
Number of PRBs,1
Number of symbols,14
The number of UCI information bits,16
First symbol,0
Number of slots for PUCCH repetition,2
PUCCH-TimeDomainWindowLength,2
Note 1:The same TDD requirements are applicable to different UL-DL patterns with more than one consecutive UL slots when both pucch-TimeDomainWindowLength and PUCCH aggregation factor are configured as 2 slots.The UL (re)transmission of PUCCH is only scheduled for the actual TDW including 2 consecutive UL slots.,
