Parameter,,Unit,Test configuration,Serving cell 1,,"Serving cell 2,3",,Neighbour Cell 4,
,,,,T1,T2,T1,T2,T1,T2
AoA setup,,,Config 1,N/A,,Setup 3 as specified in clause A.3.15,,Setup 3 as specified in clause A.3.15,
,,,,N/A,,AoA1,,AoA2,
Beam AssumptionNote 7,,,Config 1,N/A,,Rough,,Rough,
NR RF Channel Number,,,Config 1,1,,"2,3",,4,
Duplex mode,,,Config 1,FDD,,TDD,,TDD,
,,,,,,,,,
TDD configuration,,,Config 1,Not Applicable,,TDDConf.3.1,,TDDConf.3.1,
,,,,,,,,,
,,,,,,,,,
BWchannel,,MHz,Config 1,"10: NPRB,c = 52",,"100: NPRB,c = 66",,"100: NPRB,c = 66",
,,,,,,,,,
,,,,,,,,,
Data PRBs allocated,,,Config 1,52,,66,,66,
,,,,,,,,,
,,,,,,,,,
BWP BW,,MHz,Config 1,52,,66,,66,
,,,,,,,,,
,,,,,,,,,
BWP configuration,Initial DL BWP,,Config 1,DLBWP.0.1,,DLBWP.0.1,,N/A,
,Initial UL BWP,,,ULBWP.0.1,,ULBWP.0.1,,N/A,
,Dedicated DL BWP,,,DLBWP.1.1,,DLBWP.1.1,,N/A,
,Dedicated UL BWP,,,ULBWP.1.1,,ULBWP.1.1,,N/A,
OCNG Patterns defined in A.3.2.1.1 (OP.1),,,Config 1,OP.1,,OP.1,,OP.1,
PDSCH Reference,,,Config 1,SR.1.1 FDD,,-,,-,
measurement channel,,,,,,,,,
,,,,,,,,,
RMSI CORESET Reference,,,Config 1,CR.1.1 FDD,,-,,-,
Channel,,,,,,,,,
,,,,,,,,,
Dedicated CORESET RMC configuration,,,Config 1,CCR.1.1 FDD,,-,,-,
,,,,,,,,,
,,,,,,,,,
SMTC configuration defined,,,Config 1,SMTC.1,,SMTC.1,,SMTC.1,
in A.3.11.1 and A.3.11.2,,,,,,,,,
PDSCH/PDCCH subcarrier spacing,,kHz,Config 1,15,,120,,120,
,,,,,,,,,
EPRE ratio of PSS to SSS,,,,,,,,,
EPRE ratio of PBCH DMRS to SSS,,,,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,Config 1,0,,0,,0,
EPRE ratio of PDSCH DMRS to SSS,,,,,,,,,
EPRE ratio of PDSCH to PDSCH,,,,,,,,,
EPRE ratio of OCNG DMRS to SSS(Note 1),,,,,,,,,
EPRE ratio of OCNG to OCNG DMRS (Note 1),,,,,,,,,
Ês,,dBm/SCS,Config 1,-98,,-87,,-Infinity,-87
SSB_RP Note 3,,dBm/SCS,,,,,,,
,,Note 5,,,,,,,
BB Note 8,,dB,Config 1,16,,14.69,,-Infinity,14.69
Io,,dBm/9.36 MHzdBm/95.04 MHz Note 5,Config 1,-64.60,,-58.01,,-Infinity,-58.01
Propagation Condition,,,Config 1,,,No external noise (Note 9),,No external noise (Note 9),
"NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:VoidNOTE 3:SS B_RP, Es/Iot and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:VoidNOTE 5:Equivalent power received by an antenna with 0 dBi gain at the centre of the quiet zoneNOTE 6:As observed with 0 dBi gain antenna at the centre of the quiet zoneNOTE 7:Information about types of UE beam is given in clause B.2.1.3, and does not limit UE implementation or test system implementationNOTE 8:Calculation of Es/IotBB includes the effect of UE internal noise up to the value assumed for the associated Refsens requirement in clause 7.3.2 of TS 38.101-2 [19], and an allowance of 1 dB for UE multi-band relaxation factor ΔMBS from TS 38.101-2 [19] Table 6.2.1.3-4.NOTE 9:The downlink connection between the System Simulator and the UE is without Additive White Gaussian Noise, and has no fading or multipath effects as specified in TS 38.521-2 B.0 [40].",,,,,,,,,
