Parameter,,Unit,Test 1,
,,,Cell 1,Cell 2
E-UTRA RF Channel Number,,,1,
BWchannel,,MHz,10,
Special subframe configurationNote1,,,6,
Uplink/downlink configurationNote1,,,1,
Measurement bandwidth,,,22—27,
DTMC period,,ms,N/A,160
DTMC period offset,,,N/A,10
Discovery signal occasion duration,,ms,N/A,2
Time offset between cells,,µs,2.3,
PDSCH Reference measurement channel defined in A.3.1.1.2,,,R.0 TDD,-
PDSCH allocation,,,13—36,-
PDCCH/PCFICH/PHICH Reference measurement channel defined in A.3.1.2.2,,,R.6 TDD,
OCNG Patterns defined in A.3.2.2.1 (OP.1 TDD) and A.3.2.2.2 (OP.2 TDD),,,OP.1 TDD,OP.2 TDD
PBCH_RA,,dB,0,0
PBCH_RB,,,,
PSS_RA,,,,
SSS_RA,,,,
PCFICH_RB,,,,
PHICH_RA,,,,
PHICH_RB,,,,
PDCCH_RA,,,,
PDCCH_RB,,,,
PDSCH_RA,,,,
PDSCH_RB,,,,
OCNG_RANote2,,,,
OCNG_RBNote2,,,,
Note3,Bands TDD_A,dBm/15 kHz,-106,-106
,Bands TDD_C,,,
,Bands TDD_E,,,
,,dB,2.5,-6
RSRPNote4,Bands TDD_A,dBm/15 kHz,-100,-105
,Bands TDD_C,,,
,Bands TDD_E,,,
IoNote4,Bands TDD_A,dBm/9 MHz,-70.27,-70.27
,Bands TDD_C,,,
,Bands TDD_E,,,
,,dB,6,1
Propagation condition,,-,AWGN,
Note 1:For special subframe and uplink-downlink configurations see Tables 4.2-1 and 4.2-2 in TS 36.211.Note 2:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 3:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.Note 4:RSRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.Note 5:RSRP minimum requirements are specified assuming independent interference and noise at each receiver antenna port.Note 6:E-UTRA operating band groups are as defined in Section 3.5.,,,,
