Field,Test 1,Test 2,Comment
,Value,,
srsBandwidthConfiguration,bw7,bw5,
srsSubframeConfiguration,sc1,,
ackNackSrsSimultaneousTransmission,FALSE,,
srsMaxUpPTS,TRUE,,
srsBandwidth,0,,No hopping
srsHoppingBandwidth,hbw0,,
frequencyDomainPosition,0,,
Duration,TRUE,,Indefinite duration
Srs-ConfigurationIndex,10,,SRS periodicity of 10ms for all Tests.
transmissionComb,0,,
cyclicShift,cs0,,No cyclic shift
SRS-AntennaPort,an1,,Number of antenna ports used for SRS transmission
Note:For further information see clause 6.3.2 in TS 36.331.,,,
