Parameter,Unit,Test 1,Test 2
,,Cell 2,Cell 2
E-UTRA RF Channel Number,,2,2
BWchannel,MHz,10,10
Special subframe configurationNote1,,6,6
Uplink-downlink configurationNote1,,1,1
Gap Pattern Id,,-,-
Measurement bandwidth,,22—27,22—27
PDSCH Reference measurement channel defined in A.3.1.1.2,,-,-
PDSCH allocation,,-,-
PDCCH/PCFICH/PHICH Reference measurement channel defined in A.3.1.2.2,,R.6 TDD,R.6 TDD
OCNG Patterns defined in A.3.2.2.1 (OP.1 TDD) and A.3.2.2.2 (OP.2 TDD),,OP.2 TDD,OP.2 TDD
PBCH_RA,dB,0,0
PBCH_RB,,,
PSS_RA,,,
SSS_RA,,,
PCFICH_RB,,,
PHICH_RA,,,
PHICH_RB,,,
PDCCH_RA,,,
PDCCH_RB,,,
PDSCH_RA,,,
PDSCH_RB,,,
OCNG_RANote2,,,
OCNG_RBNote2,,,
Note3,dBm/15 kHz,-88.65,-112
,dB,10,-4
RSRPNote4,dBm/15 kHz,-78.65,-116
IoNote4,dBm/9 MHz,-50.45,-82.76
,dB,10,-4
Propagation condition,-,AWGN,AWGN
Note 1: For special subframe and uplink-downlink configurations see Tables 4.2-1 and 4.2-2 in TS 36.211.  Note 2: OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 3: Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.Note 4: RSRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.Note 5: RSRP minimum requirements are specified assuming independent interference and noise at each receiver antenna port.,,,
